"","Date","TikTok","Facebook","Google_Ads","Sales"
"1",2018-01-07,13528.1,0,0,9779.8
"2",2018-01-14,0,5349.65,2218.93,13245.19
"3",2018-01-21,0,4235.86,2046.96,12022.66
"4",2018-01-28,0,3562.21,0,8846.95
"5",2018-02-04,0,0,2187.29,9797.07
"6",2018-02-11,8045.44,4310.55,1992.98,13527.65
"7",2018-02-18,0,0,2253.02,9635.43
"8",2018-02-25,9697.29,4478.81,2042.3,15355.11
"9",2018-03-04,0,3156.93,1859.02,12199.37
"10",2018-03-11,0,4522.03,2135.99,11368.23
"11",2018-03-18,0,4520.34,0,8640.44
"12",2018-03-25,0,0,0,4960.26
"13",2018-04-01,11522.08,5698.46,0,12726.46
"14",2018-04-08,10243.35,0,0,11421.71
"15",2018-04-15,0,0,1839.37,10875.31
"16",2018-04-22,10667.35,0,1907.13,13048.08
"17",2018-04-29,0,0,2204.36,10775.86
"18",2018-05-06,9589.68,5160.93,1889.49,15013.62
"19",2018-05-13,10626.14,0,1922.63,14158.32
"20",2018-05-20,8291.81,4605.15,1897.94,15918.14
"21",2018-05-27,0,0,2036.79,11128.75
"22",2018-06-03,11307.24,0,1922.9,12170.36
"23",2018-06-10,0,0,1679.63,10134.7
"24",2018-06-17,8515.67,4006.88,0,11093.55
"25",2018-06-24,0,0,0,8170.63
"26",2018-07-01,0,0,0,6542.71
"27",2018-07-08,0,5049.49,2162.53,11325.8
"28",2018-07-15,0,0,2117.45,7793.24
"29",2018-07-22,13065.56,5643.31,1898.93,15010.94
"30",2018-07-29,0,3429.38,0,10634.31
"31",2018-08-05,0,4793.1,1898.5,11751.39
"32",2018-08-12,0,5880.18,0,9151.2
"33",2018-08-19,0,0,2499.44,9141.46
"34",2018-08-26,0,5387.28,0,7399.92
"35",2018-09-02,9304.18,2744.44,0,10893.16
"36",2018-09-09,0,3977.49,1743.09,11550.47
"37",2018-09-16,0,0,1979.13,8672.09
"38",2018-09-23,0,3343.28,1802.4,9427.22
"39",2018-09-30,0,0,1764.47,8036.91
"40",2018-10-07,9395.39,0,1771.96,11240.58
"41",2018-10-14,7902.89,0,2351,12386.83
"42",2018-10-21,7159.96,0,1973.4,12513.84
"43",2018-10-28,6587.46,5567.29,0,12235.08
"44",2018-11-04,13901.55,0,0,11895.78
"45",2018-11-11,0,0,0,10047.41
"46",2018-11-18,0,0,2144.01,9705.39
"47",2018-11-25,0,4708.16,0,8847.19
"48",2018-12-02,0,4238.51,2060.72,10379.07
"49",2018-12-09,0,5857.92,2154.54,11312.48
"50",2018-12-16,0,0,1667.68,8226.23
"51",2018-12-23,8209.07,6466.58,2089.64,13966.11
"52",2018-12-30,0,5852.55,2339.24,13460.32
"53",2019-01-06,8978.39,4401.35,1997.03,15742.61
"54",2019-01-13,0,0,2164.28,10440.98
"55",2019-01-20,0,0,2134.11,8535.49
"56",2019-01-27,0,0,1858.5,7801.58
"57",2019-02-03,0,3231.46,2007.95,9570.01
"58",2019-02-10,0,0,1686.6,7854.78
"59",2019-02-17,0,0,1909.74,8067.55
"60",2019-02-24,0,0,2053.14,7848.26
"61",2019-03-03,8655.08,4814.95,2144.62,14012.71
"62",2019-03-10,9280.89,4192.35,2004.92,16127.45
"63",2019-03-17,0,0,2144,11636.97
"64",2019-03-24,0,0,1779.42,8193.65
"65",2019-03-31,0,4690.89,0,9451.61
"66",2019-04-07,0,4766.53,2003.86,11454.02
"67",2019-04-14,0,0,0,5526.84
"68",2019-04-21,0,0,1957.17,7677.52
"69",2019-04-28,0,0,1900.2,8084.98
"70",2019-05-05,0,0,2004.27,7456.56
"71",2019-05-12,0,0,0,5365.18
"72",2019-05-19,0,0,2038.55,8134.16
"73",2019-05-26,0,5929.51,1926.99,10065.53
"74",2019-06-02,7530.35,0,1641.73,10878.94
"75",2019-06-09,0,2905.4,1988.28,11524.63
"76",2019-06-16,0,0,0,6563.85
"77",2019-06-23,8258.41,4869.89,1673.52,14165.57
"78",2019-06-30,8842.3,5093.95,1986.57,15624.56
"79",2019-07-07,0,0,2297.87,11305.04
"80",2019-07-14,0,0,2104.26,8245.57
"81",2019-07-21,0,0,2122.39,7676.64
"82",2019-07-28,0,0,0,5023.53
"83",2019-08-04,0,0,2095.38,8058.85
"84",2019-08-11,0,3583.09,2029.69,9902.44
"85",2019-08-18,0,0,2105.81,8058.05
"86",2019-08-25,0,0,2084.53,7498.36
"87",2019-09-01,12357.56,4028.9,0,12216.8
"88",2019-09-08,0,5314.82,0,11042.8
"89",2019-09-15,0,5821.59,0,10713.92
"90",2019-09-22,0,0,1989.98,9130.06
"91",2019-09-29,0,5800.56,0,7325.82
"92",2019-10-06,12444.89,5078.26,2262.49,15292.36
"93",2019-10-13,0,0,1828.21,11571.92
"94",2019-10-20,0,3840.58,1820.21,10464.3
"95",2019-10-27,0,0,2014.92,9229.31
"96",2019-11-03,0,5194.29,1784.58,9964.76
"97",2019-11-10,0,0,1915.07,8018.56
"98",2019-11-17,0,0,1834.01,7278.85
"99",2019-11-24,0,0,2282.23,8467.44
"100",2019-12-01,0,0,2157.16,7620.08
"101",2019-12-08,0,4217.37,0,7353.99
"102",2019-12-15,7304.48,4889.61,1921.76,12947.48
"103",2019-12-22,0,0,2188.18,10250.78
"104",2019-12-29,11938.79,0,2081.04,13096.57
"105",2020-01-05,0,0,2099.61,10843.3
"106",2020-01-12,0,0,1994.76,9702.32
"107",2020-01-19,9172.76,0,1662.35,11509.72
"108",2020-01-26,0,7021.04,0,10862.91
"109",2020-02-02,13845.88,0,1893.5,14894.3
"110",2020-02-09,0,2798.56,2129.01,12071.16
"111",2020-02-16,13735.12,5199.3,2202.37,16592.25
"112",2020-02-23,0,0,1868.41,12441.24
"113",2020-03-01,0,4482.48,2093.68,12279.8
"114",2020-03-08,0,0,0,6790.08
"115",2020-03-15,9463.99,4560.81,0,11909.22
"116",2020-03-22,0,5181.34,2336.38,13496.33
"117",2020-03-29,0,4497.18,1829.48,12297.33
"118",2020-04-05,0,0,0,6378.02
"119",2020-04-12,11228.16,4039.5,1997.77,14447.22
"120",2020-04-19,11844.41,0,2002.3,14199.63
"121",2020-04-26,0,0,0,8818.6
"122",2020-05-03,0,5251.48,1881.76,11735.1
"123",2020-05-10,10596.48,0,0,10804.46
"124",2020-05-17,0,0,2065.39,10008.84
"125",2020-05-24,8610.86,0,2066.01,13038.94
"126",2020-05-31,0,4290.27,2445.19,12997.57
"127",2020-06-07,9129.69,0,2274.2,13131.68
"128",2020-06-14,13698.53,5994.39,0,14703.9
"129",2020-06-21,11344.59,6319.14,2064.97,17668.34
"130",2020-06-28,0,0,2199.42,13267.43
"131",2020-07-05,0,0,0,8106.56
"132",2020-07-12,0,5496,1986.07,11182.44
"133",2020-07-19,0,5771.41,2010.31,10886.67
"134",2020-07-26,0,6029.44,2173.46,11160.91
"135",2020-08-02,0,0,1830.34,7160.31
"136",2020-08-09,11352.87,4575.68,1934.87,14452.13
"137",2020-08-16,0,5862.6,0,11189.87
"138",2020-08-23,9583.4,2344.38,2062.29,15012.92
"139",2020-08-30,0,0,0,8606.27
"140",2020-09-06,0,0,0,5991.27
"141",2020-09-13,0,0,2194.51,8239.06
"142",2020-09-20,0,0,0,5561.95
"143",2020-09-27,0,3970.06,2081.28,9797.26
"144",2020-10-04,11270.06,4650.06,1961.36,14673.81
"145",2020-10-11,0,0,2151.15,11598.35
"146",2020-10-18,11888.96,0,1892.17,13368.12
"147",2020-10-25,8174.36,7696.22,0,14428.14
"148",2020-11-01,0,4926.08,0,11172.84
"149",2020-11-08,0,0,0,6340.56
"150",2020-11-15,0,0,1769.21,8095.38
"151",2020-11-22,0,3981.96,1930.41,9268.66
"152",2020-11-29,0,0,0,4532.33
"153",2020-12-06,0,5382.73,1793.47,10982.62
"154",2020-12-13,0,0,1912.65,8447.64
"155",2020-12-20,0,6096.35,0,7617.05
"156",2020-12-27,0,0,1918.79,7610.02
"157",2021-01-03,0,0,1892.95,7849.88
"158",2021-01-10,0,0,2005.08,7104.61
"159",2021-01-17,0,0,2230.84,8447.4
"160",2021-01-24,0,0,2034.5,7885.48
"161",2021-01-31,0,3820.84,2004.21,9992.42
"162",2021-02-07,0,6301.43,2019.89,11322.95
"163",2021-02-14,11898.84,5895.26,2045.48,15977.27
"164",2021-02-21,10175.1,0,1796.65,14259.48
"165",2021-02-28,0,3667.79,1977.04,12886.05
"166",2021-03-07,0,3031.38,0,9131.86
"167",2021-03-14,0,4339.94,1725.85,10953.39
"168",2021-03-21,0,0,2173.13,8574.23
"169",2021-03-28,12376.06,5498.69,2216.28,14958.05
"170",2021-04-04,0,6047.97,1873.72,13543.21
"171",2021-04-11,11841.72,0,1951.73,13867.08
"172",2021-04-18,0,6742.67,1824.36,13854.92
"173",2021-04-25,0,0,2139.88,10895.22
"174",2021-05-02,0,0,1787.76,7854.4
"175",2021-05-09,0,0,1955.5,7405.54
"176",2021-05-16,0,4111.03,0,7705.26
"177",2021-05-23,0,5242.12,2010.19,10888.41
"178",2021-05-30,0,0,1641.15,7715.63
"179",2021-06-06,0,5936.74,2265.29,10581.72
"180",2021-06-13,0,6412.33,1807.08,11218.58
"181",2021-06-20,9292.01,0,2011.98,12789.7
"182",2021-06-27,0,0,1957.5,9923.23
"183",2021-07-04,0,2760.4,1847.58,9781.83
"184",2021-07-11,5553.19,0,1822.44,11570.62
"185",2021-07-18,11250.46,0,2187.28,12294.54
"186",2021-07-25,0,0,1894.87,9745.9
"187",2021-08-01,0,3720.31,2054.23,11918.41
"188",2021-08-08,0,4414.57,1839.7,10983.4
"189",2021-08-15,8520.87,0,0,8944.74
"190",2021-08-22,13086.03,0,2094.45,13131.49
"191",2021-08-29,7414.29,0,2186.08,14669.4
"192",2021-09-05,10534.1,0,1964.94,13843.33
"193",2021-09-12,0,5213.48,1715.62,14024.53
"194",2021-09-19,7663.81,0,2399.59,13315.79
"195",2021-09-26,0,4757.98,0,10237.24
"196",2021-10-03,0,0,1691.68,9030.17
"197",2021-10-10,11543.58,4615.35,2518.88,15904.11
"198",2021-10-17,0,4556.16,1919.19,12839.29
"199",2021-10-24,0,0,1707.65,9063.45
"200",2021-10-31,0,0,1863.31,7250.21
